,ID,station,line,operator,type_sym,type,interchange,agr_area,Com_area,Indu_area,Ins_area,Mil_area,Recre_area,Resi_area,Tran_area,Under_area,Util_area,Water_area,Wood_area,nomx_area,Mix_area,com_lgret_ar,com_mx_ar,edu_ar,pkin_tran_ar,pkin_und_ar,resi_mx_ar,resi_multi_ar,resi_sigle_ar,under_gen_ar,under_trsit_ar,geometry,
18,18,Gwynedd Valley,Lansdale/Doylestown Line,SEPTA,SEPTA_RR,Regional_Rail,,117131.039,6675.461918,0,1237.821675,0,0,1448208.842,6787.446831,13873.73694,13667.2336,39954.87832,498179.7359,2145716.196,0,0,0,0,5592.027282,0,0,0,1448208.842,4170.311468,9703.42547,c(-75.256941182774, 40.1848393580465)
19,19,North Wales,Lansdale/Doylestown Line,SEPTA,SEPTA_RR,Regional_Rail,,0,119698.8848,361910.6803,58389.75796,0,35610.75588,848715.9802,212223.8286,230428.6952,15150.83533,3019.876062,52011.75628,1937161.051,0,0,0,18032.8911,12070.75048,0,0,219310.9512,626502.6763,219537.0397,959.4562408,c(-75.277258314396, 40.2143533566984)
20,20,Neshaminy Falls,West Trenton Line,SEPTA,SEPTA_RR,Regional_Rail,,0,280894.0553,55538.70868,27250.48828,0,75495.85116,532394.5031,56932.09637,123677.3757,79957.06499,25063.9295,248783.7758,1505987.849,0,0,0,0,8566.393152,1508.851007,0,588.6837157,531368.1764,110839.6611,0,c(-74.9621398156694, 40.1468380072325)
21,21,Ardmore,Paoli/Thorndale Line,SEPTA,SEPTA_RR,Regional_Rail,,0,366159.5528,0,78005.60532,0,24155.28044,1214686.298,44351.78674,4896.660149,2033.169812,0,0,1724700.601,9587.752877,0,9587.752877,0,3025.982099,0,0,434304.9387,737080.9549,2090.81328,2805.846869,c(-75.2903045117539, 40.0084264095969)
22,22,Narberth,Paoli/Thorndale Line,SEPTA,SEPTA_RR,Regional_Rail,,0,114349.9414,0,44817.35852,0,97570.57159,1376215.758,216651.644,4160.54353,0,0,19435.94982,1870741.231,2460.536661,0,2460.536661,22382.19153,4691.389129,0,0,279445.7532,1084644.776,4160.54353,0,c(-75.2615403935816, 40.0048660715799)
23,23,Oreland,Lansdale/Doylestown Line,SEPTA,SEPTA_RR,Regional_Rail,,0,98122.94294,71728.21366,45167.58901,0,29017.14671,1134326.28,35978.16757,73427.71067,10107.19425,0,69994.29767,1566838.076,1031.465559,0,1031.465559,0,5914.021178,0,0,75616.44667,1048101.396,43215.11639,21673.6972,c(-75.1838403021797, 40.1181995879032)
24,24,Glenolden,Wilmington/Newark Line,SEPTA,SEPTA_RR,Regional_Rail,,0,140764.1429,0,76380.50332,0,159933.5298,1142902.742,314307.835,21080.53021,24386.7825,11497.52501,240041.7857,2123755.691,7539.685031,0,6079.192575,38157.463,2470.651342,1152.102712,0,298250.699,822156.9489,19928.4275,0,c(-75.2901838606109, 39.8962167449285)
25,25,Andrews Avenue,Route 102 Trolley,SEPTA,Trolley,Trolley,,0,380992.0917,57054.78184,250900.7222,0,105393.9459,866962.25,626748.1776,6883.877553,28086.1009,0,27847.56935,2336921.323,13948.19386,0,13948.19386,23490.95385,0,2052.331102,0,556333.5165,308214.2277,4831.546451,0,c(-75.2819982924769, 39.9117058200483)
26,26,Sedgwick,Chestnut Hill East Line,SEPTA,SEPTA_RR,Regional_Rail,,0,95513.44639,0,100827.5055,0,36162.40492,1404514.626,26026.27191,2329.162717,0,0,12810.96409,1663142.222,15042.15898,0,15042.15898,36862.33329,4903.42214,0,0,878864.6189,516312.1922,2329.162717,0,c(-75.1852665457837, 40.0628703720786)
27,27,Veterans Square,Route 101 Trolley,SEPTA,Trolley,Trolley,,0,323625.5821,0,127056.5487,0,61557.29989,875825.7703,327051.4222,15921.97915,15660.68443,12761.41669,334406.0225,2059913.775,33952.95123,0,32268.32655,17744.64286,8705.106176,0,0,432695.4695,399502.5511,10556.58034,5365.398813,c(-75.3920512514788, 39.9182846411927)
28,28,Bordentown,RiverLine,NJ Transit,NJT_Riverline,Light_Rail,,0,85160.91718,2300.140556,66445.52489,0,58520.81785,413017.7997,214146.379,86461.44255,2115.142434,127220.2091,283391.0483,1307820.787,30958.63475,0,29558.39847,18721.33207,6540.031657,0,0,113485.0389,292909.1758,86461.44255,0,c(-74.7162082004466, 40.1482120579801)
29,29,Darby,Wilmington/Newark Line,SEPTA,SEPTA_RR,Regional_Rail,,0,125229.7276,301250.7138,49688.69477,0,77400.07067,764035.2835,142097.4339,54465.50848,10485.24168,68201.7801,415123.021,1937193.407,70784.06851,0,8767.836892,13799.51948,963.1132542,0,0,714749.3845,40603.56551,54465.50848,0,c(-75.2545951681446, 39.9129530558702)
30,30,Palmyra,RiverLine,NJ Transit,NJT_Riverline,Light_Rail,,0,73459.30775,0,88969.95543,0,81882.86571,1486433.335,491774.5872,0,0,0,0,2196140.496,26379.55526,0,20756.41851,32658.09357,1204.960996,0,0,15724.55333,1468322.473,0,0,c(-75.0211299925716, 40.0042244798254)
31,31,Trenton Transit Center,RiverLine,NJ Transit,NJT_Riverline,Light_Rail,,3068.818722,196852.9272,58046.29501,345795.4627,0,161118.8888,623593.3893,3197931.914,71924.25568,19861.396,17351.33649,16057.52653,4648128.905,63473.30523,0,51750.39447,17206.80148,26865.40937,2087.671424,2412.328656,572239.8297,14582.89901,61632.17078,8204.413471,c(-74.7551220456131, 40.2183613198001)
32,32,Prospect Park,Wilmington/Newark Line,SEPTA,SEPTA_RR,Regional_Rail,,0,224912.8959,32957.9497,102383.256,0,101952.8048,1190746.416,298627.1889,2182.558074,1757.050287,0,88044.96371,2037070.644,6494.43979,0,4957.968614,35862.56977,3710.061731,0,0,462488.1578,708964.5214,2182.558074,0,c(-75.3094537272632, 39.8881192979256)
33,33,Cherry Hill,Atlantic City Line,NJ Transit,NJT_Atlantic,Regional_Rail,,0,577510.6874,72525.16736,48770.56601,0,36961.293,572952.2248,34547.7217,360611.5867,2378.630155,30754.96298,188076.4579,1925089.298,0,19320.45394,0,0,268.6541496,0,0,74584.62853,475113.5725,91790.02675,234606.6299,c(-75.0417014722859, 39.9284539315727)
34,34,Collingswood,PATCO,PATCO,PATCO,Transit_Rail,,1051.772247,166045.5813,0,72863.7799,0,8327.975283,1381220.463,38440.59345,8371.668252,6253.144202,1850.711868,0,1651756.158,32669.5317,0,29823.90501,13407.8664,18606.98953,580.0389318,0,152068.1467,1224968.995,7791.62932,0,c(-75.0644712369698, 39.9135740710262)
35,35,Trenton Transit Center,Trenton Line,SEPTA,SEPTA_RR,Regional_Rail,,3068.818722,194692.9049,57082.06511,301899.5296,0,144581.3828,647911.9568,3196331.437,74070.54363,19861.396,17351.33649,16057.52653,4615464.276,57444.62148,0,46756.36412,17206.80148,26865.40937,2087.671424,2412.328656,601502.5761,15517.89856,63778.45873,8204.413471,c(-74.753883431282, 40.2185537375267)
36,36,Clifton-Aldan,Media/Elwyn Line,SEPTA,SEPTA_RR,Regional_Rail,,0,268438.646,41856.88319,49760.84139,0,83519.37829,1226964.603,791349.2578,20989.50736,2562.988579,2045.669324,71010.84484,2544540.096,13958.52343,0,11910.0324,8122.687969,10186.06717,0,0,503527.0888,705275.416,9046.142702,11943.36466,c(-75.2903181878517, 39.9266675412493)
37,37,9th-10th & Locust Street,PATCO,PATCO,PATCO,Transit_Rail,,858.2309471,575884.4397,345.1864467,332912.3086,0,119931.4729,618166.7783,6792.804083,22240.71711,10282.84474,0,0,1531965.836,155448.9472,0,122383.1059,62388.58423,497.3138822,1150.291185,22126.66361,575653.0232,0,2612.494137,18477.93179,c(-75.1568017739716, 39.9472140998562)
38,38,Forest Hills,West Trenton Line,SEPTA,SEPTA_RR,Regional_Rail,,0,101699.7127,0,666870.7541,0,41868.91473,1071573.947,52834.34469,26588.29981,0,0,122228.1753,2081839.72,1824.428277,0,1824.428277,0,5588.583443,0,0,311273.8609,717022.3195,19459.19923,0,c(-75.0207388950365, 40.1278793909931)
39,39,Lansdowne,Media/Elwyn Line,SEPTA,SEPTA_RR,Regional_Rail,,1065.842676,193910.3717,79128.27976,109519.4517,0,78678.77748,1163764.186,390702.2222,13625.26365,12191.77947,16887.48999,181065.9564,2233465.326,7074.294937,0,6470.629834,6880.109013,4476.896593,0,0,480665.3581,651047.2218,6671.913106,6953.35054,c(-75.2714350148391, 39.9373015035468)
40,40,Trenton Transit Center,Northeast Corridor,NJ Transit,NJT_NEC,Regional_Rail,,3068.818722,194692.9049,57082.06511,301899.5296,0,144581.3828,647911.9568,3196331.437,74070.54363,19861.396,17351.33649,16057.52653,4615464.276,57444.62148,0,46756.36412,17206.80148,26865.40937,2087.671424,2412.328656,601502.5761,15517.89856,63778.45873,8204.413471,c(-74.753883431282, 40.2185537375267)
41,41,Cass Street,RiverLine,NJ Transit,NJT_Riverline,Light_Rail,,3041.298713,201833.9737,97785.13744,334897.3416,0,131416.5702,815095.5633,53258.11675,20269.70987,0,3454.185539,0,1615354.781,45697.11637,0,41853.32424,11146.92638,858.1379987,0,0,800174.1027,0,20269.70987,0,c(-74.7543126396183, 40.2054264095715)
42,42,Jackson Street,Route 101 Trolley,SEPTA,Trolley,Trolley,,0,338344.1324,0,142218.9179,0,59017.21436,915056.7343,328885.6619,18681.14083,2691.379166,9780.351981,134715.6703,1912693.666,36697.53735,0,34272.6535,17744.64286,10539.34584,0,0,486247.4225,381868.1097,13315.74202,5365.398813,c(-75.3894480743346, 39.9179265935124)
43,43,Congress Avenue,Route 101 & 102 Trolley Lines,SEPTA,Trolley,Trolley,,0,77785.53459,0,188267.5284,0,244374.8875,1109047.004,2214133.183,1872.238815,12933.13637,1998.956461,135775.2319,3975162.349,11025.35196,0,8977.636758,100674.4305,0,0,0,208312.0677,872906.4312,1872.238815,0,c(-75.2791631996187, 39.9529739505117)
44,44,Highland Avenue,Wilmington/Newark Line,SEPTA,SEPTA_RR,Regional_Rail,,0,258978.4428,180800.0034,86465.57775,0,113395.1333,670271.759,66007.49701,171695.4008,77193.66144,0,65502.32458,1690309.8,0,0,0,11404.0131,1354.136478,0,0,638133.1345,26057.81913,171695.4008,0,c(-75.3930087323613, 39.8337006222012)
45,45,Angora,Media/Elwyn Line,SEPTA,SEPTA_RR,Regional_Rail,,1709.543513,54761.19026,21344.0245,116807.547,0,72873.3498,1050714.393,22661.69808,60670.51548,5170.04661,14714.10848,309949.5404,1719232.292,12143.66466,0,12143.66466,53675.89473,0,0,0,1010099.981,40614.41119,55539.50718,5131.008297,c(-75.2383531604327, 39.944919322468)
46,46,Irvington Road,Route 101 & 102 Trolley Lines,SEPTA,Trolley,Trolley,,0,65174.48414,1310.377877,497847.2304,0,18269.47126,1384401.432,2210290.571,692.977757,1362.145735,0,0,4166816.963,12531.7271,0,10484.0119,7569.212729,0,0,0,285533.942,1095270.584,692.977757,0,c(-75.289095990629, 39.9487575265627)
47,47,Anderson Avenue,Route 101 Trolley,SEPTA,Trolley,Trolley,,0,102939.827,0,39050.04246,0,29032.60987,1328031.311,1057.606301,11555.85833,0,33424.49537,385255.9042,1924772.477,5575.177491,0,4803.038494,18684.58841,0,0,0,491232.3936,802014.4246,11555.85833,0,c(-75.3128054493366, 39.9478495514421)
48,48,Jefferson Station,SEPTA Main Line,SEPTA,SEPTA_RR,Regional_Rail,4,0,787618.1525,20057.81361,456542.768,0,87950.44673,234383.3062,3045378.444,28273.84542,12572.46383,0,0,4492863.826,179913.4139,0,135300.7779,64058.05295,497.3138822,0,29825.93982,184628.4927,0,12343.32138,15930.52404,c(-75.158373769432, 39.9526490662536)
