"","ID","station","line","operator","type_sym","type","com_lgret_ar","com_mx_ar","edu_ar","pkin_tran_ar","pkin_und_ar","resi_mx_ar","resi_multi_ar","resi_sigle_ar","under_gen_ar","under_trsit_ar","Wood_ar","Agri_ar","geometry","potential"
"24",24,"Glenolden","Wilmington/Newark Line","SEPTA","SEPTA_RR","Regional_Rail",0,6079.19257496975,38157.4630049812,2470.65134240145,1152.10271249194,0,298250.69901729,822156.948893117,19928.4274964599,0,240041.785748671,0,c(-75.2901838606109, 39.8962167449285),259970.213245131
"25",25,"Andrews Avenue","Route 102 Trolley","SEPTA","Trolley","Trolley",0,13948.1938558924,23490.9538543183,0,2052.33110198062,0,556333.516489959,308214.227675888,4831.54645120484,0,27847.5693484849,0,c(-75.2819982924769, 39.9117058200483),32679.1157996898
"26",26,"Sedgwick","Chestnut Hill East Line","SEPTA","SEPTA_RR","Regional_Rail",0,15042.1589840231,36862.3332917048,4903.42213991073,0,0,878864.618901498,516312.192235309,2329.16271692418,0,12810.9640897805,0,c(-75.1852665457837, 40.0628703720786),15140.1268067047
"27",27,"Veterans Square","Route 101 Trolley","SEPTA","Trolley","Trolley",0,32268.3265458104,17744.6428559876,8705.1061758122,0,0,432695.469487,399502.551061617,10556.5803396062,5365.3988129955,334406.022472731,0,c(-75.3920512514788, 39.9182846411927),350328.001625333
"28",28,"Bordentown","RiverLine","NJ Transit","NJT_Riverline","Light_Rail",0,29558.3984669251,18721.3320685745,6540.03165702261,0,0,113485.038900555,292909.175808551,86461.4425532385,0,283391.048301151,0,c(-74.7162082004466, 40.1482120579801),369852.490854389
"29",29,"Darby","Wilmington/Newark Line","SEPTA","SEPTA_RR","Regional_Rail",0,8767.8368919678,13799.5194777751,963.113254198769,0,0,714749.384453911,40603.56551496,54465.5084787142,0,415123.020955882,0,c(-75.2545951681446, 39.9129530558702),469588.529434596
"30",30,"Palmyra","RiverLine","NJ Transit","NJT_Riverline","Light_Rail",0,20756.4185100737,32658.0935654361,1204.96099630448,0,0,15724.5533272335,1468322.47306918,0,0,0,0,c(-75.0211299925716, 40.0042244798254),0
"31",31,"Trenton Transit Center","RiverLine","NJ Transit","NJT_Riverline","Light_Rail",0,51750.3944659875,17206.8014780916,26865.4093699123,2087.6714237782,2412.32865644018,572239.829708182,14582.8990095477,61632.1707809477,8204.41347134983,16057.5265294119,3068.81872161455,c(-74.7551220456131, 40.2183613198001),88962.9295033239
"32",32,"Prospect Park","Wilmington/Newark Line","SEPTA","SEPTA_RR","Regional_Rail",0,4957.96861434628,35862.5697651245,3710.0617308484,0,0,462488.157823321,708964.521381986,2182.55807444738,0,88044.9637124514,0,c(-75.3094537272632, 39.8881192979256),90227.5217868988
"33",33,"Cherry Hill","Atlantic City Line","NJ Transit","NJT_Atlantic","Regional_Rail",19320.453943566,0,0,268.654149642998,0,0,74584.6285301459,475113.572482356,91790.0267539137,234606.629873283,188076.457879158,0,c(-75.0417014722859, 39.9284539315727),514473.114506355
"34",34,"Collingswood","PATCO","PATCO","PATCO","Transit_Rail",0,29823.9050051997,13407.8664007826,18606.9895342737,580.038931828602,0,152068.146688241,1224968.99460702,7791.62931993671,0,0,1051.77224713509,c(-75.0644712369698, 39.9135740710262),8843.40156707179
"35",35,"Trenton Transit Center","Trenton Line","SEPTA","SEPTA_RR","Regional_Rail",0,46756.3641219898,17206.8014780916,26865.4093699123,2087.6714237782,2412.32865644018,601502.576132656,15517.8985590162,63778.4587332989,8204.41347134983,16057.5265294119,3068.81872161455,c(-74.753883431282, 40.2185537375267),91109.2174556752
"36",36,"Clifton-Aldan","Media/Elwyn Line","SEPTA","SEPTA_RR","Regional_Rail",0,11910.0324029333,8122.68796886707,10186.0671675299,0,0,503527.088822542,705275.416047171,9046.14270190772,11943.3646581931,71010.8448417863,0,c(-75.2903181878517, 39.9266675412493),92000.3522018871
"37",37,"9th-10th & Locust Street","PATCO","PATCO","PATCO","Transit_Rail",0,122383.105945255,62388.5842338332,497.313882228068,1150.29118496028,22126.6636057583,575653.023176908,0,2612.49413678054,18477.9317862931,0,858.230947091162,c(-75.1568017739716, 39.9472140998562),21948.6568701648
"38",38,"Forest Hills","West Trenton Line","SEPTA","SEPTA_RR","Regional_Rail",0,1824.42827697568,0,5588.58344269727,0,0,311273.860930562,717022.319538561,19459.1992331122,0,122228.175308174,0,c(-75.0207388950365, 40.1278793909931),141687.374541286
"39",39,"Lansdowne","Media/Elwyn Line","SEPTA","SEPTA_RR","Regional_Rail",0,6470.62983430595,6880.10901342962,4476.89659256751,0,0,480665.358124525,651047.221809329,6671.91310616706,6953.35053960421,181065.956366535,1065.84267578832,c(-75.2714350148391, 39.9373015035468),195757.062688095
"40",40,"Trenton Transit Center","Northeast Corridor","NJ Transit","NJT_NEC","Regional_Rail",0,46756.3641219898,17206.8014780916,26865.4093699123,2087.6714237782,2412.32865644018,601502.576132656,15517.8985590162,63778.4587332989,8204.41347134983,16057.5265294119,3068.81872161455,c(-74.753883431282, 40.2185537375267),91109.2174556752
"41",41,"Cass Street","RiverLine","NJ Transit","NJT_Riverline","Light_Rail",0,41853.324243166,11146.9263814815,858.137998720057,0,0,800174.102722266,0,20269.709871281,0,0,3041.29871293517,c(-74.7543126396183, 40.2054264095715),23311.0085842161
"42",42,"Jackson Street","Route 101 Trolley","SEPTA","Trolley","Trolley",0,34272.6534958893,17744.6428559876,10539.3458421272,0,0,486247.422467349,381868.109745703,13315.7420176113,5365.3988129955,134715.670334804,0,c(-75.3894480743346, 39.9179265935124),153396.811165411
"43",43,"Congress Avenue","Route 101 & 102 Trolley Lines","SEPTA","Trolley","Trolley",0,8977.63675804914,100674.430549385,0,0,0,208312.067674067,872906.431160592,1872.23881504065,0,135775.231888969,0,c(-75.2791631996187, 39.9529739505117),137647.47070401
"44",44,"Highland Avenue","Wilmington/Newark Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,11404.0131049939,1354.13647849496,0,0,638133.134537079,26057.8191298712,171695.400771204,0,65502.3245833516,0,c(-75.3930087323613, 39.8337006222012),237197.725354556
"45",45,"Angora","Media/Elwyn Line","SEPTA","SEPTA_RR","Regional_Rail",0,12143.6646572617,53675.8947332143,0,0,0,1010099.98146822,40614.4111869775,55539.5071843553,5131.0082968797,309949.540366178,1709.54351322931,c(-75.2383531604327, 39.944919322468),372329.599360642
"46",46,"Irvington Road","Route 101 & 102 Trolley Lines","SEPTA","Trolley","Trolley",0,10484.011898493,7569.21272863642,0,0,0,285533.941952177,1095270.58358416,692.977757040455,0,0,0,c(-75.289095990629, 39.9487575265627),692.977757040455
"47",47,"Anderson Avenue","Route 101 Trolley","SEPTA","Trolley","Trolley",0,4803.03849391474,18684.5884132486,0,0,0,491232.393573842,802014.42462437,11555.8583336412,0,385255.904238191,0,c(-75.3128054493366, 39.9478495514421),396811.762571832
"48",48,"Jefferson Station","SEPTA Main Line","SEPTA","SEPTA_RR","Regional_Rail",0,135300.777922159,64058.0529514909,497.313882228068,0,29825.9398171261,184628.492677799,0,12343.3213801537,15930.5240446501,0,0,c(-75.158373769432, 39.9526490662536),28273.8454248038
"49",49,"Broadway","PATCO","PATCO","PATCO","Transit_Rail",0,42924.9459484827,135517.633937079,28922.5850766759,0,11424.5564604125,364246.678981482,471.252666212156,92039.3280193645,34196.5121279885,0,5149.8367974239,c(-75.1198274263474, 39.9431120837317),131385.676944777
"50",50,"Cooper Street/Rutgers University","RiverLine","NJ Transit","NJT_Riverline","Light_Rail",0,30066.4739083415,129937.055820163,21267.656190184,57930.5937683726,11424.5564604125,236184.021039288,0,66734.1805467253,20612.0053756726,0,0,c(-75.1247364842694, 39.9476530479607),87346.185922398
"51",51,"Collingdale","Route 102 Trolley","SEPTA","Trolley","Trolley",0,13593.4811683851,23490.9538543183,0,2052.33110198062,0,593335.250087403,313523.652299243,4831.54645120484,0,27847.5693484849,0,c(-75.2809518427899, 39.9103448188627),32679.1157996898
"52",52,"Paper Mill Road","Route 101 Trolley","SEPTA","Trolley","Trolley",0,0,4615.70250029659,0,0,0,90712.8890226514,316157.674394202,10683.0182155648,0,1006509.41910832,0,c(-75.3579014970943, 39.9153697519158),1017192.43732389
"53",53,"Wynnefield Avenue","Cynwyd Line","SEPTA","SEPTA_RR","Regional_Rail",0,2470.33955955414,17355.013633324,0,0,0,420232.297399915,429676.4920282,2279.01989620939,0,24048.1439300475,0,c(-75.2256715258181, 39.9901518656402),26327.1638262569
"54",54,"49th Street","Media/Elwyn Line","SEPTA","SEPTA_RR","Regional_Rail",0,38664.959877346,22574.284877915,0,0,0,1064572.91805996,0,37709.8752714638,0,0,5679.44589289732,c(-75.2164938704914, 39.9436249353026),43389.3211643611
"55",55,"Daylesford","Paoli/Thorndale Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,3087.59377001889,4464.09403631151,0,0,52005.7306674745,1318411.77462123,0,5394.45073532064,84340.3101218043,0,c(-75.4606083275172, 40.0429468780979),89734.7608571249
"56",56,"Torresdale","Trenton Line","SEPTA","SEPTA_RR","Regional_Rail",0,2379.26716179962,118382.370438786,13357.0208400842,0,0,410387.143627368,347853.854080647,11405.0665525107,0,195166.295397992,0,c(-74.9844980943116, 40.0544313252711),206571.361950503
"57",57,"Marcus Hook","Wilmington/Newark Line","SEPTA","SEPTA_RR","Regional_Rail",0,7435.90068751166,18517.7347218753,6150.17720528522,2288.20738261925,0,342937.214767061,143312.025420365,132126.676019756,0,43175.6161427591,0,c(-75.4196013004024, 39.8216251341399),175302.292162515
"58",58,"Wister","Chestnut Hill East Line","SEPTA","SEPTA_RR","Regional_Rail",0,30971.5080055269,228234.425260321,3076.10779211461,665.882273060107,0,659956.43193759,135384.338421995,45064.4792809935,11110.6099430707,297851.517456606,3772.18023819364,c(-75.1615084335181, 40.0361871516796),357798.786918863
"59",59,"Thomson Avenue","Route 101 Trolley","SEPTA","Trolley","Trolley",0,0,91355.956036405,0,0,0,112942.056446877,937941.196473109,10683.0182155648,0,270291.63351194,0,c(-75.3454506376596, 39.9211186154995),280974.651727505
"60",60,"Beatty Road","Route 101 Trolley","SEPTA","Trolley","Trolley",0,2004.32695007885,0,1894.04666992353,0,0,122223.764263535,1265863.59533329,12618.5738964439,5365.3988129955,37950.5764815726,0,c(-75.3769147970218, 39.9161786467331),55934.549191012
"61",61,"North Street","Route 102 Trolley","SEPTA","Trolley","Trolley",0,3360.58057968474,31613.6418231854,0,0,0,459190.371494813,821114.548142055,12130.1896728987,0,26436.5206282282,0,c(-75.2855787313057, 39.9176696595307),38566.7103011269
"62",62,"Ryers","Fox Chase Line","SEPTA","SEPTA_RR","Regional_Rail",0,41307.5102995349,6324.34763850657,2152.86155647424,0,0,805792.251238767,410689.779158468,15121.2512984912,25850.7595525087,56134.8788190322,0,c(-75.0867418557019, 40.0636635068456),97106.8896700322
"63",63,"Hamilton","Northeast Corridor","NJ Transit","NJT_NEC","Regional_Rail",0,0,0,83781.4429270672,6156.03426958363,0,45159.7941356642,243397.937698708,124500.047182851,53103.5694270978,483695.985430488,0,c(-74.704050946452, 40.2553574702933),661299.602040437
