"","ID","station","line","operator","type_sym","type","com_lgret_ar","com_mx_ar","edu_ar","pkin_tran_ar","pkin_und_ar","resi_mx_ar","resi_multi_ar","resi_sigle_ar","under_gen_ar","under_trsit_ar","Wood_ar","Agri_ar","geometry","potential"
"100",100,"Gladstone","Media/Elwyn Line","SEPTA","SEPTA_RR","Regional_Rail",16804.2691290592,2221.54925720688,2643.52203254107,4128.29062617982,859.765422398896,0,310341.881154217,732832.182260023,27835.0225689567,11943.3646581931,432669.009355299,0,c(-75.2821229247406, 39.932763014512),472447.396582448
"101",101,"Magnolia Avenue","Route 102 Trolley","SEPTA","Trolley","Trolley",0,1301.62826424942,14863.1037888023,0.001220664917684,0,0,387370.42069992,1024336.956614,12130.1896728987,0,26436.5206282282,0,c(-75.2868012048757, 39.9193840370317),38566.7103011269
"102",102,"12th-13th & Locust Street","PATCO","PATCO","PATCO","Transit_Rail",0,110577.568549125,69148.5300399967,497.313882228068,0,26162.2330918688,555516.101571492,0,2612.49413678054,16704.2286397065,0,858.230947091162,c(-75.1614769057329, 39.9477101554889),20174.9537235782
"103",103,"Media","Media/Elwyn Line","SEPTA","SEPTA_RR","Regional_Rail",0,32268.3265458104,9313.39541189142,8705.1061758122,0,0,228980.440403655,532010.881426997,0,9313.53881911842,439334.505001097,0,c(-75.3946909704874, 39.9142548950852),448648.043820215
"104",104,"Edgmont Street","Route 101 Trolley","SEPTA","Trolley","Trolley",0,34272.6534958893,17744.6428559876,1894.04666992353,0,0,412029.076840084,565424.73018038,14607.193898202,9313.53881911842,36956.5259128136,0,c(-75.3856449802636, 39.917395402758),60877.2586301341
"105",105,"Temple University","SEPTA Main Line","SEPTA","SEPTA_RR","Regional_Rail",0,3444.98394691964,326550.748571875,0,0,3985.27571240156,687926.089977367,0,175880.279874763,3468.56278857512,0,3628.10181744323,c(-75.1494334836606, 39.9816587931903),182976.944480781
"106",106,"Downingtown","Paoli/Thorndale Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,16390.326590802,11554.915036364,587.387826066785,0,366234.823584149,283194.669700711,85477.9942239663,0,339362.262175533,0,c(-75.7105783053713, 40.0020769932521),424840.256399499
"107",107,"Eastwick","Airport Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,60380.7177977242,0,0,0,138542.449546943,47088.7862351527,526086.460298857,0,261816.924058467,48694.9057854337,c(-75.2449554155642, 39.891690109535),836598.290142757
"108",108,"North Philadelphia","Trenton Line","SEPTA","SEPTA_RR","Regional_Rail",0,18245.1857168211,32580.967125122,12254.9600656645,1518.06673843067,0,736418.269523504,0,149006.385453881,19967.8613623735,35079.6286443147,24528.6212636176,c(-75.155323765664, 39.9972649118541),228582.496724186
"109",109,"Mount Airy","Chestnut Hill East Line","SEPTA","SEPTA_RR","Regional_Rail",0,18614.384504963,45627.3396410677,1133.35779913492,0,0,657178.196833017,477577.780819738,46515.2567635299,0,134711.843065995,0,c(-75.1910746052427, 40.0652757644314),181227.099829525
"110",110,"Germantown","Chestnut Hill East Line","SEPTA","SEPTA_RR","Regional_Rail",0,39580.8425304178,104381.158955999,4807.85018548621,665.882273060107,0,794684.333922237,119667.681482982,43436.2743149827,0,65984.6239047039,6412.50683232153,c(-75.1719277258105, 40.0378573216115),115833.405052008
"111",111,"Morton","Media/Elwyn Line","SEPTA","SEPTA_RR","Regional_Rail",0,1548.31905097465,0,1088.18414651027,0,0,122221.309841669,958334.049324151,6441.71294110196,10408.4727591475,99900.9982667759,0,c(-75.3284815302353, 39.9080064695983),116751.183967025
"112",112,"Springfield Road","Route 102 Trolley","SEPTA","Trolley","Trolley",0,11910.0324029333,8122.68796886707,14471.9343999647,0,0,600968.466515383,511036.383413475,9046.14270190772,11943.3646581931,92911.6284782417,0,c(-75.2926768340673, 39.9273709393113),113901.135838342
"113",113,"30th Street Station","Atlantic City Line","NJ Transit","NJT_Atlantic","Regional_Rail",0,9073.03997837302,235246.470205923,32101.1167153272,2803.0592449827,3431.51245544771,234837.465904819,0,8963.80063782527,19894.9001162219,14133.5197049013,4097.36104085666,c(-75.1822544232518, 39.9566448020597),47089.5814998051
"114",114,"Sharon Hill","Route 102 Trolley","SEPTA","Trolley","Trolley",0,15669.3624406883,3666.90776747279,3126.18141864719,2052.33110198062,0,637668.477357919,397381.271746159,4457.12372251782,0,47241.0192588941,0,c(-75.2781123560687, 39.9066195987703),51698.1429814119
"115",115,"Wyndmoor","Chestnut Hill East Line","SEPTA","SEPTA_RR","Regional_Rail",0,38498.140182082,11017.9437084842,1868.7255533717,0,3729.58356836896,548862.25041167,765307.351263125,45827.8928383031,5196.63281101271,108997.411264046,0,c(-75.1968747875872, 40.073543792007),160021.936913361
"116",116,"Fern Rock Transportation Center","Glenside Combined","SEPTA","SEPTA_RR","Regional_Rail",0,55848.9437237436,44534.42193171,25249.1211396358,0,0,843073.776575992,124652.035533768,1340.9294081026,0,38621.4602156846,0,c(-75.1348019593153, 40.0410240018902),39962.3896237872
"117",117,"Manchester Avenue","Route 101 Trolley","SEPTA","Trolley","Trolley",0,25682.5730459028,9313.39541189142,1894.04666992353,0,0,286734.529570166,664596.922401942,12618.5738964439,5365.3988129955,41994.421886386,0,c(-75.3828502974128, 39.9170167648889),59978.3945958254
"118",118,"St. Davids","Paoli/Thorndale Line","SEPTA","SEPTA_RR","Regional_Rail",0,6299.68299939288,100965.071261134,5351.56484234136,0,0,163188.214626931,1204347.20971846,0,0,0,0,c(-75.3734362440179, 40.0440953527898),0
"119",119,"Overbrook","Paoli/Thorndale Line","SEPTA","SEPTA_RR","Regional_Rail",0,4351.52162528495,421793.228697104,6564.49492562734,0,0,276219.950669422,820807.801642735,1024.42274591253,0,37276.9116514493,0,c(-75.2498430999964, 39.9898840813711),38301.3343973619
"120",120,"Elwyn","Media/Elwyn Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,424120.055469784,11167.4522191736,0,0,0,1099528.61324323,0,0,607998.947151812,202589.409287703,c(-75.4111576470045, 39.9078521407971),810588.356439515
"121",121,"Saxer Avenue","Route 101 Trolley","SEPTA","Trolley","Trolley",0,0,38230.5826237073,1108.4043182111,0,0,141074.551579712,1214970.70212781,0,0,34807.4793566113,0,c(-75.3335501213866, 39.9287470053967),34807.4793566113
"122",122,"Somerton","West Trenton Line","SEPTA","SEPTA_RR","Regional_Rail",0,6457.93852595772,16283.290884767,12743.9231535966,0,0,278796.71135966,866733.883856337,22473.0881598283,5701.24208059968,104751.224813231,0,c(-75.0120496326368, 40.1306248554454),132925.555053659
"123",123,"Drexelbrook","Route 101 Trolley","SEPTA","Trolley","Trolley",0,2777.29326980477,18684.5884132486,0,0,0,455900.959349344,686577.024196051,11555.8583336412,0,410683.323358244,0,c(-75.3159917531798, 39.9471760639275),422239.181691885
"124",124,"Riverton","RiverLine","NJ Transit","NJT_Riverline","Light_Rail",0,12367.2727275164,5988.53975544244,1995.87175206989,0,0,21407.287168497,1270245.02795096,23579.1848020456,0,37912.0354554644,0,c(-75.0130562743832, 40.0089333300092),61491.2202575099
"125",125,"Allen Lane","Chestnut Hill West Line","SEPTA","SEPTA_RR","Regional_Rail",0,19012.6846842782,58572.8871876396,3284.55617768205,0,0,645591.162655434,369267.898149481,22029.0318921346,0,350757.620642,0,c(-75.1949197447508, 40.0574664871781),372786.652534135
"126",126,"Colmar","Lansdale/Doylestown Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,0,11722.2117591539,0,0,108243.58800234,566294.355342784,28807.6828558109,94403.3828881946,517960.335947377,0,c(-75.2540989298926, 40.2684785002013),641171.401691382
"127",127,"North Hills","Lansdale/Doylestown Line","SEPTA","SEPTA_RR","Regional_Rail",0,20265.7914881803,0,4709.6161076291,0,0,98395.4085287226,908446.253502729,5519.74409378696,1352.40481676291,51720.0323119102,0,c(-75.1695149116296, 40.1120890332555),58592.1812224601
"128",128,"Melrose Park","Glenside Combined","SEPTA","SEPTA_RR","Regional_Rail",0,9281.12875051269,9243.44892119187,7057.65991974687,0,0,220557.613421142,1256498.87665458,937.679616866592,0,23057.844137531,0,c(-75.1291211117549, 40.0594990195062),23995.5237543976
"129",129,"Fort Washington","Lansdale/Doylestown Line","SEPTA","SEPTA_RR","Regional_Rail",0,11509.1693046435,98417.7070292753,18450.9156031009,2231.47787618849,0,93442.2987743023,444604.733955673,22003.7254572813,7960.12333820054,544825.870993225,15633.740671317,c(-75.2114604333613, 40.1352668159931),590423.460460024
"130",130,"Roslyn","Warminster Line","SEPTA","SEPTA_RR","Regional_Rail",0,8898.69467070432,117981.701201021,2587.97775466003,0,0,81917.198817298,847574.26825944,0,0,44751.9337104449,0,c(-75.134218245698, 40.1208463650906),44751.9337104449
"131",131,"Haverford","Paoli/Thorndale Line","SEPTA","SEPTA_RR","Regional_Rail",0,3019.55929089359,78078.5739758132,7851.77394719913,0,0,256268.453641001,957087.182861346,2090.81328035556,0,53990.6367836856,0,c(-75.300070366368, 40.0140201578383),56081.4500640412
"132",132,"Bryn Mawr","Paoli/Thorndale Line","SEPTA","SEPTA_RR","Regional_Rail",0,17854.976122559,409844.823980348,10482.3974489045,0,0,276114.257353009,239127.139610463,18343.9691559835,8444.14519874294,12206.1281249501,0,c(-75.3158781591726, 40.0219106066859),38994.2424796765
"133",133,"Bethayres","West Trenton Line","SEPTA","SEPTA_RR","Regional_Rail",0,6339.06479163867,0,8409.31892077857,0,0,56137.458554466,633028.863594418,155201.088444298,0,310945.273883362,12855.5771861868,c(-75.0687225369709, 40.1165348801575),479001.939513847
"134",134,"Yardley","West Trenton Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,4408.62303031955,8714.90469652493,0,0,170207.652347669,725759.428167585,9436.58502915146,0,289992.922463491,0,c(-74.8309532772781, 40.235058931971),299429.507492643
"135",135,"Bristol","Trenton Line","SEPTA","SEPTA_RR","Regional_Rail",0,2734.27337101248,24303.5029327529,9591.58885355928,0,0,499926.621843775,123324.365470172,63983.9690392894,6046.78399173794,31072.5214916946,1639.79724543246,c(-74.8546415502134, 40.1050370332687),102743.071768154
"136",136,"Willow Grove","Warminster Line","SEPTA","SEPTA_RR","Regional_Rail",16099.4580141977,52834.5241655974,3328.50927606086,7197.1888383369,0,0,118594.063789888,649449.485698514,9735.75972451943,0,74147.1097590104,0,c(-75.1143707015032, 40.1436933450465),83882.8694835298
"137",137,"Spring Mill","Manayunk/Norristown Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,0,5233.50500736894,0,0,144950.169170124,368486.763620101,18557.687802945,0,909240.305528524,0,c(-75.2860655128276, 40.0742262097581),927797.993331469
"138",138,"Penllyn","Lansdale/Doylestown Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,0,2243.03586130963,0,0,112774.992846741,892410.471794573,37490.9372457661,0,275985.784517243,13730.8145281438,c(-75.243948708035, 40.1697032796067),327207.536291153
"139",139,"Hatboro","Warminster Line","SEPTA","SEPTA_RR","Regional_Rail",0,26905.1999884405,0,3432.15771165907,0,0,124612.81286321,1019879.25309861,4651.71856379974,8276.25724532472,23620.7662249336,0,c(-75.1025405134848, 40.1764188435083),36548.7420340581
"140",140,"Croydon","Trenton Line","SEPTA","SEPTA_RR","Regional_Rail",0,2865.88458798096,4588.2210703538,8165.07942585183,0,0,9253.82522967143,1112642.95527757,71261.1820515805,0,224268.878768551,0,c(-74.9065754767239, 40.0935753712523),295530.060820132
"141",141,"Conshohocken","Manayunk/Norristown Line","SEPTA","SEPTA_RR","Regional_Rail",0,19428.8267749941,6942.81701036833,4393.91719680486,1223.04793343177,0,401594.779403326,225574.409930604,28641.8451946286,4410.22565322508,143410.713138168,0,c(-75.3086703561672, 40.072137849581),176462.783986022
"142",142,"Lansdale","Lansdale/Doylestown Line","SEPTA","SEPTA_RR","Regional_Rail",0,10653.3223590292,0,17066.5744676533,0,0,790056.383821163,169815.018600359,16130.9157480451,0,23933.1954493018,0,c(-75.2853402549124, 40.2430469221092),40064.111197347
"143",143,"Main Street","Manayunk/Norristown Line","SEPTA","SEPTA_RR","Regional_Rail",0,97475.1599857183,6357.72885182984,24091.1875332519,2691.09352367554,0,549366.859739027,0,17933.6916616244,0,140068.223585013,0,c(-75.3486951367841, 40.1170586071177),158001.915246638
"144",144,"Norristown Transportation Center","Manayunk/Norristown Line","SEPTA","SEPTA_RR","Regional_Rail",0,96310.6736667014,6357.72885182984,20035.2097292558,2691.09352367554,0,284282.413660389,0,46819.9825857219,0,135521.576795265,0,c(-75.3440958678923, 40.1126950596238),182341.559380987
"145",145,"Elm Street","Manayunk/Norristown Line","SEPTA","SEPTA_RR","Regional_Rail",0,89501.7363322283,10160.1468249278,14261.9262150984,4311.28124064723,0,880220.183421988,30121.392427398,18213.8762205247,0,41797.0464512563,0,c(-75.3450604459392, 40.1208347077399),60010.922671781
"146",146,"Eddington","Trenton Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,40047.4456658062,0,0,0,6540.98891823782,331358.27012499,89038.614078706,0,360426.324755431,1603.20173675434,c(-74.9337026820235, 40.0829936968348),451068.140570891
"147",147,"Chalfont","Lansdale/Doylestown Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,7961.42302858079,4472.60765227445,0,0,149330.075272555,658968.656492341,104277.870235099,8423.0292266013,382389.60530673,26722.3565732056,c(-75.2107052485542, 40.2877589006188),521812.861341636
"148",148,"St. Martins","Chestnut Hill West Line","SEPTA","SEPTA_RR","Regional_Rail",0,19524.2444009142,33395.0058411456,2087.99820404004,0,0,182088.529876186,835972.600773061,8792.07190513007,18846.9253527696,163521.43199795,0,c(-75.2045807318016, 40.0657810284506),191160.42925585
"149",149,"Oakview","Route 102 Trolley","SEPTA","Trolley","Trolley",16804.2691290592,11091.9417270019,2643.52203254107,1130.03962217825,0,0,794197.196287017,277039.557173356,13892.6106448588,0,316917.429207852,0,c(-75.2951642285391, 39.9351442713189),330810.03985271
"150",150,"Pennsauken/Route 73","RiverLine","NJ Transit","NJT_Riverline","Light_Rail",0,0,0,22556.0762229158,2042.05119167704,0,0,21457.6323163874,89428.7316348367,0,224384.520360917,0,c(-75.0391218180286, 39.9934255507418),313813.251995754
"151",151,"Manayunk","Manayunk/Norristown Line","SEPTA","SEPTA_RR","Regional_Rail",0,43364.6433297726,8628.59946983833,1720.28361368762,0,0,672622.469315775,78474.2565995242,32919.4549424548,0,210634.206937249,1677.42517040156,c(-75.2249181360517, 40.0267715365761),245231.087050106
"152",152,"City Hall","PATCO","PATCO","PATCO","Transit_Rail",0,37237.6365509804,148256.714881136,21267.656190184,9163.34115456577,11424.5564604125,305614.795101061,471.252666212156,95484.0271116042,34196.5121279885,0,0,c(-75.121006026308, 39.9456608390993),129680.539239593
"153",153,"Exton","Paoli/Thorndale Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,18551.3138503364,25810.8073483033,0,0,490179.0184221,174757.380036976,12059.6843614265,19675.70615829,927011.014514142,0,c(-75.621757244531, 40.0194311797044),958746.405033858
"154",154,"Drexel Hill Junction","Route 101 & 102 Trolley Lines","SEPTA","Trolley","Trolley",0,9914.04287933751,19115.1718421286,0,0,0,405443.912510655,1044854.8001233,2740.1156155509,0,0,0,c(-75.2926884791925, 39.9470590781891),2740.1156155509
"155",155,"Walnut Street","Route 101 & 102 Trolley Lines","SEPTA","Trolley","Trolley",0,51568.9364714562,26409.2664341381,8902.54325227362,719.457171323368,0,784757.072934233,275347.971780463,1914.15861956901,0,1999.85864293199,0,c(-75.2664972077188, 39.9588687558442),3914.017262501
"156",156,"Walter Rand Transportation Center","RiverLine","NJ Transit","NJT_Riverline","Light_Rail",0,42924.9459484827,135517.633937079,25818.6625220557,0,11424.5564604125,330686.946743184,471.252666212156,90133.7506931992,34196.5121279885,0,5149.8367974239,c(-75.1202999985787, 39.9431661158942),129480.099618612
"157",157,"Upsal","Chestnut Hill West Line","SEPTA","SEPTA_RR","Regional_Rail",0,8867.64643818332,30295.903247332,308.615052590955,0,0,716279.685325272,720572.024569691,9485.1259563208,0,66945.2633508218,0,c(-75.1902049917402, 40.0424130271144),76430.3893071426
"158",158,"Chestnut Hill West","Chestnut Hill West Line","SEPTA","SEPTA_RR","Regional_Rail",0,46176.7875492622,45967.6152329765,12240.6952962402,0,3729.58356836896,317686.911631992,999404.34153757,3397.14840165023,5196.63281101271,14600.4291333651,0,c(-75.2084931095627, 40.076241404632),23194.2103460281
"159",159,"Beverly/Edgewater Park","RiverLine","NJ Transit","NJT_Riverline","Light_Rail",0,9875.01139907374,33144.8340397339,6969.56717405393,0,0,49306.1899559193,991801.401486632,17117.3231422514,0,110361.708569202,0,c(-74.9151576155687, 40.0611629513516),127479.031711453
"160",160,"Thorndale","Paoli/Thorndale Line","SEPTA","SEPTA_RR","Regional_Rail",15977.2574652773,0,0,15370.046683146,0,0,182279.318553979,468949.645149537,61837.6791039628,71434.4143136486,339270.560907734,0,c(-75.7628964206018, 39.9927722189281),472542.654325345
"161",161,"Westmont","PATCO","PATCO","PATCO","Transit_Rail",0,8275.28808134107,11004.1563102875,31070.2071634921,3102.84341033381,0,151693.230535262,1243870.7264582,27138.9851100453,1262.48130492277,55909.2688814491,0,c(-75.0467924235311, 39.9071580956222),84310.7352964172
"162",162,"Wayne","Paoli/Thorndale Line","SEPTA","SEPTA_RR","Regional_Rail",0,20467.4736918446,93825.0387222794,5452.72609707561,0,0,196441.650965946,1015134.37611487,0,0,0,0,c(-75.3872111851034, 40.0458389426194),0
"163",163,"Clifton-Aldan","Route 102 Trolley","SEPTA","Trolley","Trolley",0,11910.0324029333,8122.68796886707,10186.0671675299,0,0,479412.897271217,807352.517371541,10345.8964196101,11943.3646581931,69231.7682744654,0,c(-75.2900441202561, 39.9255059221321),91521.0293522686
"164",164,"30th Street Station","SEPTA Main Line","SEPTA","SEPTA_RR","Regional_Rail",0,9073.03997837302,235246.470205923,32101.1167153272,2803.0592449827,3431.51245544771,234837.465904819,0,8963.80063782527,19894.9001162219,14133.5197049013,4097.36104085666,c(-75.1822544232566, 39.9566448038617),47089.5814998051
"165",165,"Lindenwold","PATCO","PATCO","PATCO","Transit_Rail",0,1388.38917677122,41022.2107801892,117644.806200775,0,0,17392.2838669684,625240.883129857,80665.1381949767,3475.52983961173,163993.668290934,0,c(-75.0005070939718, 39.8338429471326),248134.336325523
"166",166,"Ashland","PATCO","PATCO","PATCO","Transit_Rail",0,0,27276.2300406418,59516.6616164717,0,0,75762.6547879777,974037.940046777,5845.64119404265,5730.26844731394,300019.62843251,0,c(-75.0091871782374, 39.8587101844147),311595.538073867
"167",167,"West Trenton","West Trenton Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,193117.994834146,2482.90166310003,0,0,76232.8200334311,294879.576456664,268880.027349086,0,74227.7612087843,1142838.34268612,c(-74.8154936827851, 40.2573167700143),1485946.13124399
"168",168,"Radnor","Paoli/Thorndale Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,99289.124826877,4749.23397838445,0,0,0,351867.668416521,2007.23985861269,0,307114.720846329,0,c(-75.359459822422, 40.0447356011752),309121.960704942
"169",169,"Gravers Lane","Chestnut Hill East Line","SEPTA","SEPTA_RR","Regional_Rail",0,52750.0160812783,16363.381217879,13103.6259515659,0,3729.58356836896,509163.229626898,814923.045529937,8104.70797990324,5196.63281101271,33393.61429405,0,c(-75.2018377552003, 40.0774747943657),46694.955084966
"170",170,"Washington Lane","Chestnut Hill East Line","SEPTA","SEPTA_RR","Regional_Rail",0,5396.08538068916,66539.3925568232,2181.47554315425,0,0,801207.750460034,244236.58460694,7678.58618955754,0,40289.4981615111,29920.9912757234,c(-75.171572503179, 40.0511080390636),77889.075626792
"171",171,"Villanova","Paoli/Thorndale Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,497239.185377971,4757.34261231709,0,0,0,937218.570212894,10939.790984703,0,25359.0252064345,0,c(-75.3422972542815, 40.0386474247205),36298.8161911374
"172",172,"Chestnut Hill East","Chestnut Hill East Line","SEPTA","SEPTA_RR","Regional_Rail",0,35952.0617074226,34901.7301711675,12240.6952962402,0,0,173133.610301446,928375.698076151,47379.5379513995,0,136076.055986571,0,c(-75.2073275125802, 40.0810414876024),183455.593937971
"173",173,"Huey Avenue","Route 101 Trolley","SEPTA","Trolley","Trolley",0,13037.3893706861,19115.1718421286,0,0,0,250760.734854227,1241917.59691895,2047.13785851044,0,0,0,c(-75.2977587658878, 39.9475513430203),2047.13785851044
"174",174,"Hilltop Road","Route 101 & 102 Trolley Lines","SEPTA","Trolley","Trolley",0,14188.3552398488,75331.180715347,0,562.185995371903,0,603279.532932756,549270.130292782,3786.39743460966,0,140760.432486712,0,c(-75.272911646468, 39.9559157492765),144546.829921322
"175",175,"15th-16th & Locust Street","PATCO","PATCO","PATCO","Transit_Rail",0,122685.102065372,59092.1328944126,0,0,20203.0071712847,647197.248583023,0,4066.88139561886,27547.3658461184,0,0,c(-75.167011633255, 39.9483796331158),31614.2472417372
"176",176,"Primos","Media/Elwyn Line","SEPTA","SEPTA_RR","Regional_Rail",0,2489.51354173622,22858.455851121,6961.44683447623,0,0,351870.550913187,850202.25553911,37820.506820983,0,46005.2170882919,0,c(-75.2982074114841, 39.9217632512401),83825.723909275
"177",177,"Riverside","RiverLine","NJ Transit","NJT_Riverline","Light_Rail",0,11763.8069257065,20363.9179677997,13359.7673621979,0,0,126972.180780075,544687.434872516,227747.428847644,1634.87417338601,133773.098311988,1651.29452453545,c(-74.9588839405631, 40.0392499907398),364806.695857554
"178",178,"Eddystone","Wilmington/Newark Line","SEPTA","SEPTA_RR","Regional_Rail",33440.1605345333,906.972648667205,14819.9807579316,9682.28180666866,0,0,290649.976730159,13102.9099966005,108642.72383766,0,116807.671713736,0,c(-75.3417195857348, 39.8573852620982),225450.395551396
"179",179,"Springfield Mall","Route 101 Trolley","SEPTA","Trolley","Trolley",0,0,38679.2776316459,0,0,0,84565.5488458121,662243.057005264,10683.0182155648,0,110404.713851387,0,c(-75.3489838571782, 39.9181271135087),121087.732066952
"180",180,"Bartram Avenue","Route 102 Trolley","SEPTA","Trolley","Trolley",0,11762.2131803529,23490.9538543183,0,0,0,537220.913735652,605087.700517332,10803.2931910519,0,0,0,c(-75.284221773282, 39.9146020681153),10803.2931910519
"181",181,"Chelten Avenue","Chestnut Hill West Line","SEPTA","SEPTA_RR","Regional_Rail",0,14576.308327024,97843.9399811456,4936.67534960772,0,0,907569.048782208,70198.4089270397,5949.97052267547,10791.6314033194,118305.002645813,4521.80713657762,c(-75.181142975307, 40.02998032659),139568.411708385
"182",182,"Devon","Paoli/Thorndale Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,0,8847.76327860362,0,0,37615.1635747003,1204939.05343949,8696.36949300079,0,38323.0857636776,0,c(-75.4229728645162, 40.0473692684261),47019.4552566784
"183",183,"Entertainment Center","RiverLine","NJ Transit","NJT_Riverline","Light_Rail",0,18401.0539625538,17749.4148362438,33047.4408418339,0,11424.5564604125,177951.405521922,471.252666212156,64371.8294158434,32679.6012047111,0,2500.92381641488,c(-75.1284937397272, 39.940882160981),99552.3544369694
"184",184,"Pine Ridge","Route 101 Trolley","SEPTA","Trolley","Trolley",0,0,0,0,0,0,0,1020665.04625743,0,0,304468.851043539,0,c(-75.3699715888525, 39.9149637251551),304468.851043539
"185",185,"Atco","Atlantic City Line","NJ Transit","NJT_Atlantic","Regional_Rail",0,0,0,7403.59934966454,57971.1553065628,0,0,317175.575145076,211610.797931053,0,738277.456128576,0,c(-74.9076090433716, 39.7835607189692),949888.254059629
"186",186,"Pennsauken Transit Center","Atlantic City Line","NJ Transit","NJT_Atlantic","Regional_Rail",0,1643.77086020844,16232.2901302995,12141.4279961973,0,0,7838.83160000734,338832.751502029,104732.92180933,0,254115.000286615,0,c(-75.0620036469332, 39.977897892543),358847.922095945
"187",187,"Airport Terminal C & D","Airport Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,0,0,0,0,0,0,139572.592182624,0,0,0,c(-75.24165818739, 39.8773195956859),139572.592182624
"188",188,"North Philadelphia","Chestnut Hill West Line","SEPTA","SEPTA_RR","Regional_Rail",0,6808.8106426432,23875.8480359192,12254.9600656645,1518.06673843067,0,750294.521743179,0,143729.719058304,19967.8613623735,32387.6720864673,24528.6212636176,c(-75.1565853969623, 39.9972228980518),220613.873770762
"189",189,"Monroe Street","Route 101 Trolley","SEPTA","Trolley","Trolley",0,34272.6534958893,17744.6428559876,1894.04666992353,0,0,485908.983855354,520995.082019567,14607.193898202,9313.53881911842,49841.6091043329,0,c(-75.3876015022133, 39.9176671553935),73762.3418216533
"190",190,"Princeton Junction","Northeast Corridor","NJ Transit","NJT_NEC","Regional_Rail",0,0,0,143363.7643372,0,0,12206.5761577115,546203.796727218,128675.102522047,17084.2867458922,247970.913802293,0,c(-74.6241020354952, 40.3160270360558),393730.303070232
"191",191,"Bala","Cynwyd Line","SEPTA","SEPTA_RR","Regional_Rail",12759.6457175062,16882.4680362142,20813.8702044827,2594.39306517842,0,0,258574.218085438,651946.000084608,0,14205.0786715837,18027.4179614825,0,c(-75.2277475842303, 40.0010290668373),32232.4966330661
"192",192,"Penfield","Norristown High Speed Line","SEPTA","NHSL","Light_Rail",0,0,0,0,0,0,47292.0254853152,1244611.96973298,1264.64571864317,2386.41514125725,343916.453792582,0,c(-75.2839733273888, 39.980957415781),347567.514652482
"193",193,"Snyder","Broad Street Line","SEPTA","BSL","Transit_Rail",0,87110.1339494443,57628.4669804632,0,0,0,1322655.31826417,0,0,8183.07661762201,0,0,c(-75.1696942061899, 39.9243903260324),8183.07661762201
"194",194,"2nd Street","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,127839.4801489,2604.44275834319,0,1150.29118496028,7783.07540492856,260257.553227167,0,19154.5043776712,14724.8851762418,0,0,c(-75.1436651038184, 39.9498000937445),33879.389553913
"195",195,"Arrott Transportation Center","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,83005.8188586728,36233.1181264923,11119.2462248665,1006.67478358077,0,1048916.99234064,40635.5602711511,36399.7235404636,1475.96640080903,19690.884142468,0,c(-75.0838643214677, 40.0165954874797),57566.5740837406
"196",196,"Ellsworth-Federal","Broad Street Line","SEPTA","BSL","Transit_Rail",0,62279.2338022835,39553.3333667768,0,3102.3042454169,0,1096298.61009124,0,31524.4019570369,4781.32657557455,0,1830.70623989039,c(-75.1671274806111, 39.9362020741112),38136.4347725019
"197",197,"Tioga","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,38687.2099192845,45765.2443423337,0,593.741165995673,0,741601.181913291,0,28905.1584503146,0,5213.74898628599,0,c(-75.1063668388711, 40.0003621121859),34118.9074366006
"198",198,"Beverly Boulevard","Route 101 & 102 Trolley Lines","SEPTA","Trolley","Trolley",0,9061.31463239334,75331.180715347,0,562.185995371903,0,466134.791068316,605268.914989326,1872.23881504065,0,140760.432486712,0,c(-75.2746085051038, 39.9551075540453),142632.671301753
"199",199,"Wynnewood Road","Norristown High Speed Line","SEPTA","NHSL","Light_Rail",0,4547.70324243221,12576.8451861561,5269.7620584163,0,0,331085.520991211,1053496.65858314,0,0,129926.565712681,4384.08353104741,c(-75.2982859700071, 39.9934148686204),134310.649243729
"200",200,"Walnut-Locust","Broad Street Line","SEPTA","BSL","Transit_Rail",0,98156.5417985983,69148.5300399967,497.313882228068,0,24574.7347208757,541149.145650097,0,4066.88139561886,16704.2286397065,0,0,c(-75.1643903914436, 39.9487932893765),20771.1100353254
"201",201,"69th Street Transportation Center","Route 101 & 102 Trolley Lines","SEPTA","Trolley","Trolley",0,50518.1450587133,0,12074.0202173121,0,0,621452.134849314,42918.4401490524,0,2995.27988971883,362196.704572637,0,c(-75.2604280784944, 39.9621402412455),365191.984462356
