"","STATION","LINE","Type_1","TCI_Data","Job_Data","Time_Data","Walk_data","ResRent_Da","CommRent_D"
"81","Langhorne","West Trenton Line","Suburban Neighborhood",15,114231,"1",59,1.4,13.75
"82","Paoli","Paoli/Thorndale Line","Suburban Center",23,238411,"1.0344827586",76,1.34,20.95
"83","Ambler","Lansdale/Doylestown Line","Town Center",17,126441,"0.90540540541",80,1.1,18.87
"84","Allegheny","Manayunk/Norristown Line","Urban Neighborhood",39,558762,"1.25",72,1.17,17.47
"85","Primos","Media/Elwyn Line","Town Neighborhood",22,430092,"1.875",77,1.2,17.53
"86","Aronimink","Route 101 Trolley","Town Neighborhood",24,306759,"0.95348837209",62,1.25,14.65
"87","Orange Street","Route 101 Trolley","Town Center",26,115435,"0.525",90,1.45,21.35
"88","Roberts Road","Norristown High Speed Line","Town Neighborhood",21,418715,"1.0444444444",72,1.65,28.41
"89","Township Line Road","Norristown High Speed Line","Town Neighborhood",26,312649,"1.1612903226",45,1.28,17.98
"90","DeKalb Street","Norristown High Speed Line","Town Neighborhood",21,155328,"0.89655172414",63,1.15,19.8
"91","36th Street","RiverLine","Town Neighborhood",18,273639,"0.76923076923",37,1.15,14
"92","Aquarium","RiverLine","Urban Center",30,577637,"0.8",70,1.3,19.98
"93","Beverly/Edgewater Park","RiverLine","Town Center",17,45601,"0.79710144928",84,1.4,9.33
"94","Bristol","Trenton Line","Town Center",12,108106,"1.3829787234",65,1.34,19.46
"95","Berwyn","Paoli/Thorndale Line","Suburban Center",18,109195,"1.1111111111",69,1.55,21.01
"96","Strafford","Paoli/Thorndale Line","Suburban Center",15,186926,"1.1632653061",70,1.65,23.01
"97","Fernwood-Yeadon","Media/Elwyn Line","Town Neighborhood",38,486280,"0.71739130435",70,1.15,11.5
"98","Jenkintown-Wyncote","Glenside Combined","Suburban Center",19,406443,"1.8965517241",56,1.7,21.52
"99","Wyndmoor","Chestnut Hill East Line","Town Neighborhood",27,245907,"0.67164179104",75,1.2,23.25
"100","Chestnut Hill East","Chestnut Hill East Line","Town Neighborhood",22,289217,"0.61643835616",85,1.9,23.11
"101","Tulpehocken","Chestnut Hill West Line","Town Neighborhood",35,487203,"0.84090909091",63,1.5,19.76
"102","Elm Street","Manayunk/Norristown Line","Town Center",21,117814,"1.0555555556",80,1.1,17.81
"103","Ivy Ridge","Manayunk/Norristown Line","Town Neighborhood",16,460679,"1.43",54,1.6,19.7
"104","Wayne Junction","SEPTA Main Line","Urban Neighborhood",37,603158,"0.64",75,1,18.1
"105","Angora","Media/Elwyn Line","Urban Neighborhood",47,482126,"0.85714285714",68,0.85,14.4
"106","63rd Street","Market/Frankford Line","Urban Neighborhood",45,517558,"1.3333333333",85,1.35,11.63
"107","Villanova","Norristown High Speed Line","Special District: University",19,371398,"0.97916666667",25,1.6,32.42
"108","Wynnewood Road","Norristown High Speed Line","Town Neighborhood",21,297694,"1.0571428571",68,1.57,20.47
"109","Parkview","Norristown High Speed Line","Town Neighborhood",29,379775,"1.1",59,1.25,17.12
"110","Walter Rand Transportation Center","RiverLine","Urban Center",36,576321,"1.125",86,1.3,18.84
"111","Haverford","Paoli/Thorndale Line","Suburban Center",21,278707,"1.0512820513",70,1.7,25.35
"112","Daylesford","Paoli/Thorndale Line","Suburban Neighborhood",18,109195,"1.1538461538",44,1.5,26.4
"113","Sedgwick","Chestnut Hill East Line","Town Neighborhood",29,314075,"0.65079365079",74,1.15,20.93
"114","Allen Lane","Chestnut Hill West Line","Town Neighborhood",28,278833,"0.81632653061",76,1.25,17.95
"115","Carpenter Lane","Chestnut Hill West Line","Town Neighborhood",29,305131,"0.78723404255",79,1.25,22.23
"116","Queen Lane","Chestnut Hill West Line","Urban Neighborhood",33,485175,"0.75",75,1.25,17.24
"117","Cornwells Heights","Trenton Line","Suburban Neighborhood",15,313521,"1.3684210526",34,1.25,19.41
"118","North Philadelphia","Chestnut Hill West Line","Urban Neighborhood",45,641567,"0.57575757576",72,0.95,21.44
"119","Ryers","Fox Chase Line","Town Neighborhood",29,186577,"0.72",81,1.1,21.54
"120","Fox Chase","Fox Chase Line","Town Neighborhood",27,173434,"1.0784313725",79,1.3,22.12
"121","46th Street","Market/Frankford Line","Urban Neighborhood",51,538086,"1.5833333333",89,1.35,26.37
"122","Allegheny","Market/Frankford Line","Urban Neighborhood",39,558762,"0.83333333333",72,0.77,12.47
"123","Huntingdon","Market/Frankford Line","Urban Neighborhood",41,534203,"1.3157894737",89,1.8,21.08
"124","Berks","Market/Frankford Line","Urban Neighborhood",43,532517,"1.5",93,1.3,18.64
"125","AT&T Station","Broad Street Line","Special District: Stadium",27,465265,"1.0909090909",55,1.45,21.64
"126","Girard","Broad Street Line","Urban Neighborhood",53,598974,"0.92307692308",91,1.35,18.61
"127","Susquehanna-Dauphin","Broad Street Line","Urban Neighborhood",50,596523,"0.85",93,0.9,10.42
"128","Erie","Broad Street Line","Urban Neighborhood",50,574974,"1.3888888889",84,1.35,23.36
"129","Hunting Park","Broad Street Line","Urban Neighborhood",45,603969,"1.0740740741",75,0.7,18.31
"130","Haverford","Norristown High Speed Line","Suburban Neighborhood",20,182787,"1.0512820513",70,1.7,25.35
"131","Bridgeport","Norristown High Speed Line","Town Neighborhood",19,155328,"0.91228070175",72,1.35,19.57
"132","Cooper Street/Rutgers University","RiverLine","Urban Center",30,577637,"0.96",81,1.3,19.74
"133","Cass Street","RiverLine","Urban Neighborhood",18,111374,"Philly: 0.86 NYC: 1.11",82,1.55,15.73
"134","Cynwyd","Cynwyd Line","Town Neighborhood",22,436142,"0.75757575758",75,1.4,25.31
"135","Holmesburg Junction","Trenton Line","Urban Neighborhood",25,411447,"1.4137931034",65,1.4,10.08
"136","Morton","Media/Elwyn Line","Town Neighborhood",19,355077,"1.3125",55,1.25,12.03
"137","Secane","Media/Elwyn Line","Town Neighborhood",18,445597,"1.5555555556",68,1.35,22.81
"138","Darby","Wilmington/Newark Line","Town Neighborhood",26,164404,"0.94285714286",69,1.25,14.71
"139","Chester Transportation Center","Wilmington/Newark Line","Urban Center",26,266006,"0.83720930233",81,1.12,13.95
"140","Ridley Park","Wilmington/Newark Line","Town Center",17,308922,"0.875",70,1.15,23.47
"141","Norwood","Wilmington/Newark Line","Town Neighborhood",18,355318,"0.92105263158",65,1.2,24.3
"142","Glenside","Glenside Combined","Town Center",21,332062,"1.1",84,1.05,16.46
"143","Hatboro","Warminster Line","Town Center",15,61232,"1.115942029",79,1.3,17.44
"144","Philmont","West Trenton Line","Suburban Neighborhood",15,180949,"1.511627907",54,1.27,17.53
"145","Mount Airy","Chestnut Hill East Line","Town Neighborhood",28,262989,"0.63076923077",75,1.25,17.92
"146","Upsal","Chestnut Hill West Line","Town Neighborhood",32,323851,"0.80434782609",73,1.3,10
"147","East Falls","Manayunk/Norristown Line","Urban Neighborhood",27,518783,"1.3157894737",80,1.5,20.19
"148","Temple University","SEPTA Main Line","Urban Neighborhood",48,631287,"1.3333333333",82,0.9,14.99
"149","Marcus Hook","Wilmington/Newark Line","Town Center",16,150704,"0.85714285714",42,1.09,14.84
"150","Frankford Transportation Center","Market/Frankford Line","Urban Neighborhood",50,447115,"1.3214285714",81,0.95,18.58
"151","69th Street Terminal","Market/Frankford Line","Town Center",48,568326,"1.55",87,1.2,15.83
"152","Millbourne","Market/Frankford Line","Town Neighborhood",45,594214,"1.5263157895",84,1.25,17.72
"153","Church","Market/Frankford Line","Urban Neighborhood",41,476808,"1.3103448276",87,1.75,13.65
"154","Somerset","Market/Frankford Line","Urban Neighborhood",45,529585,"1.0869565217",91,0.76,19.36
"155","Wyoming","Broad Street Line","Urban Neighborhood",44,501405,"1.1379310345",80,0.95,14.58
"156","Sharon Hill","Route 102 Trolley","Town Neighborhood",28,480562,"0.87179487179",65,1,10.79
"157","Garrett Hill","Norristown High Speed Line","Town Neighborhood",22,427506,"1.0869565217",60,1.5,27.17
"158","Lindenwold","Atlantic City Line","Suburban Neighborhood",19,244183,"1.15",39,1.1,15.16
"159","Princeton","Northeast Corridor","Suburban Neighborhood",14,128996,"Philly: 0.8, NYC: 1.47",46,1.14,25.99
"160","Ferry Avenue","PATCO","Town Neighborhood",20,465154,"1.16",69,1.05,8.14
"161","City Hall","PATCO","Urban Center",36,576321,"1.2",87,1.3,19.01
"162","Darby Transportation Center","Route 11 & 13 Trolley Lines","Town Center",35,311094,"0.6875",82,1.15,13.93
